id_a,id_b,similarity
기관손상_석유제품운반선_제1은희호_기관손상사건,해양오염_카페리여객선_슬로아일랜드_해양오염사건,0.6862
기관손상_석유제품운반선_제1은희호_기관손상사건,좌초_여객선_북도고속페리호_좌초사건_1,0.6854
기관손상_석유제품운반선_제1은희호_기관손상사건,충돌_어선_다온호.산적화물선_버러티_충돌사건,0.6669
기관손상_석유제품운반선_제1은희호_기관손상사건,접촉_카페리여객선_송림블루오션_부두접촉사건,0.6609
기관손상_어선_제209신광호_기관손상사건,인명사상_어선_제809주영호_선원부상사건,0.8069
기관손상_어선_제209신광호_기관손상사건,좌초_어선_제83양진호_좌초사건,0.7931
기관손상_어선_제209신광호_기관손상사건,인명사상_어선_제809주영호_선원사망사건,0.8203
기관손상_어선_제209신광호_기관손상사건,좌초_어선_대창호_좌초사건,0.7871
기관손상_카페리선_골드카페리호_기관손상사건,해양오염_유류운반부선_은성_해양오염사건,0.6715
기관손상_카페리선_골드카페리호_기관손상사건,좌초_여객선_북도고속페리호_좌초사건_1,0.6989
기관손상_카페리선_골드카페리호_기관손상사건,화재_카페리선_골드카페리호_화재사건,0.6802
기관손상_카페리선_골드카페리호_기관손상사건,해양오염_어선_제123대양호_해양오염사건,0.6678
기관손상_카페리여객선_대형카훼리3호_기관손상사건,화재_어선_채민호_화재사건,0.731
기관손상_카페리여객선_대형카훼리3호_기관손상사건,충돌_카페리여객선_태평양_3호-어선_제2입성호_충돌사건,0.7271
기관손상_카페리여객선_대형카훼리3호_기관손상사건,화재_어선_제107부창호_화재사건,0.7381
기관손상_카페리여객선_대형카훼리3호_기관손상사건,"충돌_어선_제307풍성호,_컨테이너운반선_에스아이티씨_얀타이_충돌사건",0.7192
기관손상_카페리여객선_드림아일랜드호_기관손상사건,기관손상_카페리여객선_섬사랑6호_기관손상사건,0.6965
기관손상_카페리여객선_드림아일랜드호_기관손상사건,추진축계손상_도선_여수경도골프앤리조트호_추진축계손상사건,0.7311
기관손상_카페리여객선_드림아일랜드호_기관손상사건,운항저해_카페리여객선_비금아일랜드호_운항저해사건,0.8091
기관손상_카페리여객선_드림아일랜드호_기관손상사건,인명사상_어선_신영51호_선원사망사건,0.6877
기관손상_카페리여객선_섬사랑6호_기관손상사건,충돌_카페리여객선_오션_비스타_제주&해경함_3012함_충돌사건,0.772
기관손상_카페리여객선_섬사랑6호_기관손상사건,"충돌_어선_제7청진호,_어선_포레나호_충돌사건",0.7679
기관손상_카페리여객선_섬사랑6호_기관손상사건,"충돌_기타선_코롤2호,_일반화물선_엠엠러너_충돌사건",0.7562
기관손상_카페리여객선_섬사랑6호_기관손상사건,충돌_화물_및_카페리선_세주프런티어호&기타선_해천마린2호,0.7549
기타_광석운반선_시노글로리호_침수사건,전복_모터보트_송광2호_전복사건,0.685
