similarity,id_a,category_a,id_b,category_b,same_category
0.021703,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_컨테이너선_시노코_요코하마호_화재사건","화재",0
0.035212,"좌초_예인선_울산705호_좌초사건(약식)","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.064179,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_액체화학품산적운반선_107효동케미_해양오염사건","해양오염",0
0.067114,"좌초_낚시어선_피싱랜드호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.070963,"충돌_낚시어선_하나호·어선_솔섬호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.073904,"충돌_카페리여객선_욕지영동골드고속호.낚시어선_제2비너스호_충돌사건","충돌","화재_예인선_태양21호의_피예인부선_태양5001호_화재사건","화재",0
0.073973,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_보광토파즈_해양오염사건","해양오염",0
0.074052,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_유조선_308효동케미호ㆍ어선_이화호_충돌사건","충돌",1
0.074685,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_제127대양호_침몰사건","침몰",0
0.075040,"충돌_예인선_305성신호의_피예인부선_5003성신호_어선_5운반호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.075416,"운항저해_여객선_북도고속페리호_운항저해사건","운항저해","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.075678,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_영남호_화재사건","화재",0
0.077328,"인명사상_어선_매일호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.081819,"충돌_어선_영주호ㆍ어선_일진2호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.083073,"충돌_낚시어선_시온호,_어선_97흥성호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.083218,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_일반화물선_광저우스타_엘피지운반선_카시마마루8_충돌사건","충돌",1
0.084444,"기타_어선_신아호_침수사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.084487,"인명사상_어선_은진호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
