similarity,id_a,category_a,id_b,category_b,same_category
1.000000,"충돌_낚시어선_나라2호,_무등록선박_충돌사건","충돌","충돌_낚시어선_나라2호_무등록_선박_충돌사건","충돌",1
1.000000,"좌초_예인선_대인호_좌초사건","좌초","좌초_예인선_대인호_좌초사건_1","좌초",1
0.995898,"접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건","접촉","접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1","접촉",1
0.979202,"인명사상_어선_제809주영호_선원부상사건","인명사상","인명사상_어선_제809주영호_선원사망사건","인명사상",1
0.883085,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제505협신호_선원사망사건_1","인명사상",1
0.877135,"인명사상_어선_제608승진호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
0.873592,"기관손상_어선_제209신광호_기관손상사건","기관손상","인명사상_어선_제809주영호_선원부상사건","인명사상",0
0.871040,"좌초_여객선_북도고속페리호_좌초사건","좌초","좌초_여객선_북도고속페리호_좌초사건_1","좌초",1
0.869398,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타",1
0.867934,"인명사상_어선_202미성호_선원사망사건","인명사상","인명사상_어선_206분도호_선원사망사건","인명사상",1
0.866204,"전복_어선_제7074창진호_전복사건","전복","전복_어선_제708만복호_전복사건","전복",1
0.865043,"기관손상_어선_제209신광호_기관손상사건","기관손상","인명사상_어선_제809주영호_선원사망사건","인명사상",0
0.865031,"충돌_잠수함_나대용함,_자동차운반선_호그런던_충돌사건","충돌","충돌_잠수함_나대용함_자동차운반선_호그런던_충돌사건","충돌",1
0.862533,"충돌_낚시어선_라온호,_낚시어선_대양1호_충돌사건","충돌","충돌_낚시어선_라온호_낚시어선_대양1호_충돌사건","충돌",1
0.861759,"접촉_낚시어선_모하비호_거가대교_교각접촉사건","접촉","접촉_낚시어선_허리케인호_거가대교_교각접촉사건","접촉",1
0.861228,"인명사상_어선_바다2호_선원사망사건","인명사상","인명사상_어선_장미2호_선원사망사건","인명사상",1
0.861026,"인명사상_어선_209대청호_선원사망사건","인명사상","인명사상_어선_제608승진호_선원사망사건","인명사상",1
0.857217,"기관손상_카페리여객선_드림아일랜드호_기관손상사건","기관손상","운항저해_카페리여객선_비금아일랜드호_운항저해사건","운항저해",0
0.856829,"인명사상_어선_대건호_선원부상사건","인명사상","인명사상_어선_동진호_선원부상사건","인명사상",1
0.852401,"화재_어선_제102동해호_화재사건","화재","화재_어선_제107부창호_화재사건","화재",1
0.850862,"인명사상_어선_만복호_선원부상사건","인명사상","인명사상_어선_제7환경호_선원부상사건","인명사상",1
0.850333,"화재_일반화물선_한진그린호_화재사건","화재","화재_일체형압항선_적봉호의_압항부선_대봉_화재사건","화재",1
0.849123,"인명사상_어선_대건호_선원부상사건","인명사상","인명사상_어선_명성호_선원부상사건","인명사상",1
