similarity,id_a,category_a,id_b,category_b,same_category
0.079420,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_유류_및_액체화학품산적운반선_울산_파이오니어_자동차운반선__f5b9037f","충돌",1
0.109667,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_컨테이너선_시노코_요코하마호_화재사건","화재",0
0.123495,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_액체화학품산적운반선_107효동케미_해양오염사건","해양오염",0
0.125231,"좌초_예인선_울산705호_좌초사건(약식)","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.127332,"기타_예인선_201해송의_피예인부선_마린1호_침수사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.137073,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_고려호의_피예인어선_금강호_침몰사건","침몰",0
0.139413,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_일반화물선_광저우스타_엘피지운반선_카시마마루8_충돌사건","충돌",1
0.139658,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","행방불명_어선_태건호_선원실종사건","행방불명",0
0.140322,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_평안2호_화재사건","화재",0
0.140778,"충돌_카페리여객선_욕지영동골드고속호.낚시어선_제2비너스호_충돌사건","충돌","화재_예인선_태양21호의_피예인부선_태양5001호_화재사건","화재",0
0.141030,"기타_어선_신아호_침수사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.142042,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_낚시어선_오션파티호_폭발사건","화재",0
0.144150,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_유류_및_액체화학품산적운반선_그레이스_해양오염사건","해양오염",0
0.147520,"운항저해_여객선_북도고속페리호_운항저해사건","운항저해","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.147675,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_보광토파즈_해양오염사건","해양오염",0
0.148755,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_신금영호_등_35척_화재사건","화재",0
0.154718,"좌초_산적화물선_라이아테아_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.155928,"충돌_어선_춘심_·_모터보트_글로리_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.158313,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_제7성현호_화재사건","화재",0
0.158684,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_유류_및_액체화학품운반선_뉴_브라이트_폭발사건","화재",0
0.164823,"충돌_어선_유정호-모터보트_우리호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.165748,"접촉_낚시어선_준성호_해상펜션구조물_접촉사건","접촉","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.165940,"충돌_어선_대복호_어선_아진호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.169275,"인명사상_어선_제33창남호_선원사상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.172890,"인명사상_어선_대양호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.173324,"접촉_컨테이너선_스타_익스프레스_부두시설_접촉사건","접촉","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.175015,"인명사상_어선_금강7호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.175552,"충돌_낚시어선_유빈호_모터보트_대양호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.176093,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_유조선_308효동케미호ㆍ어선_이화호_충돌사건","충돌",1
0.176140,"인명사상_어선_청용호_잠수부사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.176562,"전복_어선_영광호_전복사건","전복","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.177166,"기타_여객선_씨스타11호_기타(객실_창문_손상)사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.178560,"인명사상_어선_반석호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.178850,"전복_예인선_153강성5호의_피예인부선_강성3500호_전복사건","전복","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.179102,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_예인선_태양21호의_피예인부선_태양5001호_화재사건","화재",0
0.179801,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_예인선_제66동원호_침몰사건","침몰",0
0.181068,"전복_어선_제1부경호_전복사건","전복","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.181197,"좌초_통선_산막이1호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.185563,"접촉_유람선_해금강2호_선착장_접촉사건","접촉","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.185617,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_케미컬운반선_포천수완,_원유운반선_프론트_더체스_충돌사건","충돌",1
0.186074,"인명사상_급유선_대양호_선원_등_부상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.186363,"좌초_여객선_북도고속페리호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
