similarity,id_a,category_a,id_b,category_b,same_category
1.000000,"충돌_낚시어선_나라2호,_무등록선박_충돌사건","충돌","충돌_낚시어선_나라2호_무등록_선박_충돌사건","충돌",1
1.000000,"좌초_예인선_대인호_좌초사건","좌초","좌초_예인선_대인호_좌초사건_1","좌초",1
0.996318,"접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건","접촉","접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1","접촉",1
0.988919,"인명사상_어선_제809주영호_선원부상사건","인명사상","인명사상_어선_제809주영호_선원사망사건","인명사상",1
0.947586,"전복_어선_제7074창진호_전복사건","전복","전복_어선_제708만복호_전복사건","전복",1
0.930002,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제505협신호_선원사망사건_1","인명사상",1
0.928979,"인명사상_어선_제608승진호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
0.924841,"접촉_낚시어선_모하비호_거가대교_교각접촉사건","접촉","접촉_낚시어선_허리케인호_거가대교_교각접촉사건","접촉",1
0.924298,"전복_어선_2006만진호_전복사건","전복","전복_어선_제7074창진호_전복사건","전복",1
0.923638,"인명사상_어선_제23보경호_선원사망사건","인명사상","인명사상_어선_제306민금호_선원사망사건","인명사상",1
0.922490,"인명사상_어선_209대청호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
0.920882,"기관손상_어선_제209신광호_기관손상사건","기관손상","인명사상_어선_제809주영호_선원부상사건","인명사상",0
0.919509,"인명사상_어선_12재성호_선원부상사건","인명사상","인명사상_어선_제21구진호_선원부상사건","인명사상",1
0.919097,"충돌_어선_도진호_어선_진성호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.918210,"좌초_어선_만경호_좌초사건","좌초","좌초_어선_제83양진호_좌초사건","좌초",1
0.917709,"인명사상_어선_만복호_선원부상사건","인명사상","인명사상_어선_제7환경호_선원부상사건","인명사상",1
0.917382,"인명사상_어선_제23보경호_선원사망사건","인명사상","인명사상_어선_제608승진호_선원사망사건","인명사상",1
0.917110,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타",1
0.916276,"인명사상_어선_제208대일호_선원실종사건","인명사상","인명사상_어선_제793금정호_선원실종사건","인명사상",1
0.916105,"충돌_어선_용성호·어선_범일호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.915755,"화재_어선_방주호_화재사건","화재","화재_어선_제1금강호_화재사건","화재",1
0.914178,"인명사상_어선_제2고려호_선원실종사건","인명사상","충돌_어선_도청호ㆍ어선_제206동양호_충돌사건","충돌",0
0.913999,"인명사상_어선_301광명호_선원사망사건","인명사상","인명사상_어선_제38미래호_선원부상사건","인명사상",1
0.912786,"인명사상_어선_제388미래호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
