similarity,id_a,category_a,id_b,category_b,same_category
-0.009459,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_평안2호_화재사건","화재",0
0.001420,"충돌_어선_원진호_어선_아라호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.006088,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_보광토파즈_해양오염사건","해양오염",0
0.011833,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_삼우7호_해양오염사건","해양오염",0
0.014437,"충돌_어선_제53삼광호,_어선_동일호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.015757,"충돌_여객선_하모니플라워호_선원부상사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.018045,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_컨테이너선_시노코_요코하마호_화재사건","화재",0
0.018759,"충돌_어선_춘심_·_모터보트_글로리_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.020479,"운항저해_여객선_북도고속페리호_운항저해사건","운항저해","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.021458,"인명사상_어선_제33창남호_선원사상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.022822,"접촉_낚시어선_허리케인호_거가대교_교각접촉사건","접촉","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.023915,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_유류_및_액체화학품산적운반선_그레이스_해양오염사건","해양오염",0
0.026700,"인명사상_어선_제21구진호_선원부상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.031384,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_제71용득호_침몰사건","침몰",0
0.032028,"인명사상_어선_금강7호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.034866,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_고려호의_피예인어선_금강호_침몰사건","침몰",0
0.035553,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_제127대양호_침몰사건","침몰",0
0.036154,"인명사상_어선_제11태화호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.037762,"충돌_어선_제1원석호_어선_제7은수호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.038902,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_유류_및_액체화학품산적운반선_울산_파이오니어_자동차운반선__f5b9037f","충돌",1
