similarity,id_a,category_a,id_b,category_b,same_category
1.000000,"좌초_예인선_대인호_좌초사건","좌초","좌초_예인선_대인호_좌초사건_1","좌초",1
1.000000,"충돌_낚시어선_나라2호,_무등록선박_충돌사건","충돌","충돌_낚시어선_나라2호_무등록_선박_충돌사건","충돌",1
0.988186,"접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건","접촉","접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1","접촉",1
0.963800,"인명사상_어선_제809주영호_선원부상사건","인명사상","인명사상_어선_제809주영호_선원사망사건","인명사상",1
0.884661,"전복_어선_제7074창진호_전복사건","전복","전복_어선_제708만복호_전복사건","전복",1
0.877614,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제505협신호_선원사망사건_1","인명사상",1
0.843435,"인명사상_어선_만복호_선원부상사건","인명사상","인명사상_어선_제7환경호_선원부상사건","인명사상",1
0.838390,"충돌_어선_봉진호_·_어선_동영호_충돌사건","충돌","충돌_일반화물선_포세이돈_어선_형통호_충돌사건","충돌",1
0.836466,"인명사상_어선_202미성호_선원사망사건","인명사상","인명사상_어선_은성호_선원사망사건","인명사상",1
0.836148,"인명사상_어선_202미성호_선원사망사건","인명사상","인명사상_어선_206분도호_선원사망사건","인명사상",1
0.835300,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제207해선호_선원사망사건","인명사상",1
0.833692,"인명사상_어선_대건호_선원부상사건","인명사상","인명사상_어선_제25민성호_선원부상사건","인명사상",1
0.832296,"해양오염_어선_제123대양호_해양오염사건","해양오염","해양오염_유류운반부선_은성_해양오염사건","해양오염",1
0.831585,"접촉_낚시어선_세진호_등부표접촉사건","접촉","접촉_어선_제101평진호_등부표접촉사건","접촉",1
0.828700,"좌초_어선_9009경진호_좌초사건","좌초","좌초_어선_제2019덕성호_좌초사건","좌초",1
0.827722,"화재_어선_제103수복호_화재사건","화재","화재_어선_제365청신호_화재사건","화재",1
0.825253,"좌초_낚시어선_오션마스터호_좌초사건","좌초","좌초_낚시어선_진스타호_좌초사건","좌초",1
0.823831,"좌초_낚시어선_진스타호_좌초사건","좌초","충돌_낚시어선_명진2호_어선_상진호_충돌사건","충돌",0
0.822500,"충돌_어선_2007연흥호,_냉동운반선_씽_유에_충돌사건","충돌","충돌_어선_제902금성호,_일반화물선_순신_충돌사건","충돌",1
0.822296,"충돌_어선_103매일호-산적화물선_만다린차이나_충돌사건","충돌","충돌_어선_제902금성호,_일반화물선_순신_충돌사건","충돌",1
0.822057,"인명사상_어선_은진호_선원사망사건","인명사상","인명사상_어선_제31금영호_선원부상사건","인명사상",1
0.821843,"충돌_낚시어선_라온호,_낚시어선_대양1호_충돌사건","충돌","충돌_낚시어선_라온호_낚시어선_대양1호_충돌사건","충돌",1
0.821232,"좌초_어선_정일호_좌초사건","좌초","충돌_예인선_현대쥬베일호·어선_제311명천호_충돌사건","충돌",0
0.820315,"기관손상_어선_제209신광호_기관손상사건","기관손상","인명사상_어선_제809주영호_선원사망사건","인명사상",0
0.820006,"충돌_잠수함_나대용함,_자동차운반선_호그런던_충돌사건","충돌","충돌_잠수함_나대용함_자동차운반선_호그런던_충돌사건","충돌",1
0.819908,"인명사상_어선_제237양창호_선원사망사건","인명사상","인명사상_어선_제309부영호_선원사망사건","인명사상",1
0.818980,"좌초_어선_기흥호_좌초사건","좌초","좌초_어선_창원호_좌초사건","좌초",1
0.818462,"화재_어선_안진호_화재사건","화재","화재_어선_제107부창호_화재사건","화재",1
0.818340,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타",1
0.817870,"전복_어선_2008만선호_전복사건","전복","전복_어선_제7074창진호_전복사건","전복",1
0.817412,"좌초_낚시어선_진스타호_좌초사건","좌초","충돌_낚시어선_여수휴리호,_어선_진영호_충돌사건","충돌",0
0.816175,"인명사상_어선_203남광호_선원사망사건","인명사상","인명사상_어선_27협신호_선원사망사건","인명사상",1
0.815380,"인명사상_어선_제608승진호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
0.814135,"화재_어선_방주호_화재사건","화재","화재_어선_제365청신호_화재사건","화재",1
0.813153,"충돌_어선_제3대광호,_어선_영창호_충돌사건","충돌","충돌_예인선_광진107호-어선_제212창성호_충돌사건","충돌",1
0.812375,"인명사상_어선_제101순흥호_선원부상사건","인명사상","인명사상_어선_제203대영호_선원부상사건","인명사상",1
0.811864,"접촉_낚시어선_모하비호_거가대교_교각접촉사건","접촉","접촉_낚시어선_허리케인호_거가대교_교각접촉사건","접촉",1
0.811553,"기타_어선_제207성진호_침수사건","기타","인명사상_어선_제307영용호_선원사망사건","인명사상",0
0.811271,"충돌_예인선_77신정호의_피예인부선_케이제이-3001호_낚시어선_은빛호_충돌ᄉ_6691206a","충돌","충돌_예인선_광진월드7호_피예인부선_광진8001호와_크루즈_여객선_퀀텀_오_3de313c0","충돌",1
0.811177,"충돌_어선_203원창호_어선_제3광림호_충돌사건","충돌","충돌_어선_제708우리호,_어선_제909민성호_충돌사건","충돌",1
0.811096,"전복_어선_제207남양호_전복사건","전복","좌초_어선_만경호_좌초사건","좌초",0
0.811005,"인명사상_어선_성림5호_선원사망사건","인명사상","인명사상_어선_청강호_선원사망사건","인명사상",1
0.810687,"충돌_석유제품운반선_태양호_어선_제505한진호_충돌사건","충돌","충돌_화물선_헤세드호.어선_길영호_충돌사건","충돌",1
0.810462,"좌초_낚시어선_돌핀호_좌초사건","좌초","좌초_낚시어선_라이트호_좌초사건","좌초",1
0.810309,"좌초_어선_만경호_좌초사건","좌초","좌초_어선_제83양진호_좌초사건","좌초",1
0.809738,"인명사상_어선_성림5호_선원사망사건","인명사상","인명사상_어선_제25민성호_선원부상사건","인명사상",1
0.809450,"인명사상_어선_2020안성호_선원사망사건","인명사상","인명사상_어선_제21남경호_부유물감김사건으로_인한_선원사망사건","인명사상",1
0.809429,"인명사상_어선_제307영용호_선원사망사건","인명사상","인명사상_어선_제72해영호_선원사망사건","인명사상",1
0.809144,"기관손상_카페리여객선_드림아일랜드호_기관손상사건","기관손상","운항저해_카페리여객선_비금아일랜드호_운항저해사건","운항저해",0
0.808301,"충돌_낚시어선_스피드호,_어선_풍정호_충돌사건","충돌","충돌_어선_제27화승호&어선_화경호_충돌사건","충돌",1
