similarity,id_a,category_a,id_b,category_b,same_category
-0.081371,"충돌_어선_대복호_어선_아진호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.081183,"충돌_낚시어선_오렌지호_낚시어선_포세이돈호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.070905,"전복_어선_영광호_전복사건","전복","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.065913,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_어선_제155희영호_해양오염사건","해양오염",0
-0.063314,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_일반화물선_포세이돈_어선_형통호_충돌사건","충돌",1
-0.062045,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_고려호의_피예인어선_금강호_침몰사건","침몰",0
-0.061450,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","침몰_어선_제71용득호_침몰사건","침몰",0
-0.059566,"기타_낚시어선_호진호_선체손상사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.058259,"인명사상_어선_은성호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.056903,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","충돌_유류_및_액체화학품산적운반선_와이엔_오션_어선_305광림호_충돌_f5c78e53","충돌",1
-0.054471,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_유류_및_액체화학품산적운반선_우석호_해양오염사건","해양오염",0
-0.053980,"시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건","시설물손상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.053961,"충돌_낚시어선_용진호·모터보트_빛나리독수리호_충돌사건(공개용)","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.052912,"충돌_어선_영신호_모터보트_바다여행_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.052271,"좌초_낚시어선_짱구피싱호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.049525,"충돌_어선_보성호_어선_진성호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.048830,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_보광토파즈_해양오염사건","해양오염",0
-0.048196,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_낚시어선_파워호_화재사건","화재",0
-0.047856,"인명사상_어선_제25민성호_선원부상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.042621,"충돌_낚시어선_뉴청해호,_낚시어선_이프로1호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.042594,"충돌_예인선_77신정호의_피예인부선_케이제이-3001호_낚시어선_은빛호_충돌ᄉ_6691206a","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.042296,"충돌_어선_명윤호_어선_대양호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.041521,"인명사상_어선_제7대성호_선원사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.041342,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_낚시어선_금까마귀호_화재사건","화재",0
-0.040616,"인명사상_낚시어선_신진호_승객부상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.039696,"인명사상_어선_제15수영호_선원실종사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.039159,"충돌_어선_길양호·어선_해성호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.039104,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","해양오염_석유제품운반선_미션_해양오염사건","해양오염",0
-0.037975,"충돌_어선경림호.압항예선_제101삼일호의_압항부선_제103삼일호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.036707,"충돌_낚시어선_베스트2호_어선_어양호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
-0.036116,"접촉_어선_제101평진호_등부표접촉사건","접촉","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.035509,"인명사상_산적화물선_프린세스호_작업원부상사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
-0.034828,"인명사상_예인선_해성1호_잠수사사망사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
