similarity,id_a,category_a,id_b,category_b,same_category
1.000000,"충돌_낚시어선_나라2호,_무등록선박_충돌사건","충돌","충돌_낚시어선_나라2호_무등록_선박_충돌사건","충돌",1
1.000000,"좌초_예인선_대인호_좌초사건","좌초","좌초_예인선_대인호_좌초사건_1","좌초",1
0.989240,"접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건","접촉","접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1","접촉",1
0.959525,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제505협신호_선원사망사건_1","인명사상",1
0.956756,"접촉_산적화물선_윌리엄_올덴도르프_부두접촉사건","접촉","접촉_산적화물선_플레차_부두접촉사건(공개용_재결서)","접촉",1
0.956340,"좌초_어선_만경호_좌초사건","좌초","좌초_어선_제83양진호_좌초사건","좌초",1
0.956276,"충돌_어선_도진호_어선_진성호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.952536,"충돌_어선_도진호_어선_진성호_충돌사건","충돌","충돌_어선_용성호·어선_범일호_충돌사건","충돌",1
0.949321,"인명사상_어선_제809주영호_선원부상사건","인명사상","인명사상_어선_제809주영호_선원사망사건","인명사상",1
0.948090,"충돌_어선_대림호_어선_한청호_충돌사건","충돌","충돌_어선_도진호_어선_진성호_충돌사건","충돌",1
0.948024,"충돌_어선_용성호·어선_범일호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.945675,"좌초_낚시어선_오션마스터호_좌초사건","좌초","좌초_낚시어선_피싱랜드호_좌초사건","좌초",1
0.944918,"화재_어선_방주호_화재사건","화재","화재_어선_제1금강호_화재사건","화재",1
0.944559,"충돌_어선_부영호.어선_복지호_충돌사건","충돌","충돌_어선_삼광호.어선_성동호_충돌사건","충돌",1
0.942157,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타",1
0.942052,"충돌_어선_대복호.어선_아진호_충돌사건","충돌","충돌_어선_삼광호.어선_성동호_충돌사건","충돌",1
0.939000,"좌초_어선_제102영선호_좌초사건","좌초","좌초_어선_제156대화호_촤조사건","좌초",1
0.938141,"충돌_어선_대림호_어선_한청호_충돌사건","충돌","충돌_어선_용성호·어선_범일호_충돌사건","충돌",1
0.937122,"좌초_어선_기흥호_좌초사건","좌초","좌초_어선_평은77호_좌초사건","좌초",1
0.936999,"좌초_어선_303우진호_좌초사건","좌초","좌초_어선_제83양진호_좌초사건","좌초",1
0.935020,"충돌_어선_제111금성호,_어선_선우호_충돌사건","충돌","충돌_어선_제153혜승호_일반화물선_헹유_충돌사건","충돌",1
0.934513,"좌초_어선_기흥호_좌초사건","좌초","좌초_어선_창원호_좌초사건","좌초",1
0.932409,"충돌_어선_대림호_어선_한청호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
