similarity,id_a,category_a,id_b,category_b,same_category
-0.034458,"좌초_어선_어선호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.002813,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_어선_평안2호_화재사건","화재",0
0.013103,"충돌_낚시어선_라온호,_낚시어선_대양1호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.022799,"좌초_산적화물선_라이아테아_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.023012,"충돌_어선_제53삼광호,_어선_동일호_충돌사건","충돌","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",1
0.028273,"기타_낚시어선_호진호_선체손상사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.029880,"기타_어선_신아호_침수사건","기타","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.033022,"시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건","시설물손상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.039757,"인명사상_어선_제15수영호_선원실종사건","인명사상","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
0.046502,"충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌","화재_원양어선_슐_에스테709호_화재사건","화재",0
0.046560,"좌초_어선_대명호_좌초사건","좌초","충돌_예인선_케이-1호의_피예인부선_현대미포8001호ㆍ어선_해영3호_등_2척_충돌_d34f5078","충돌",0
