similarity,id_a,category_a,id_b,category_b,same_category
1.000000,"충돌_낚시어선_나라2호,_무등록선박_충돌사건","충돌","충돌_낚시어선_나라2호_무등록_선박_충돌사건","충돌",1
1.000000,"좌초_예인선_대인호_좌초사건","좌초","좌초_예인선_대인호_좌초사건_1","좌초",1
0.986092,"접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건","접촉","접촉_컨테이너선_밀라노브릿지_부산신항_크레인_접촉사건_1","접촉",1
0.985858,"인명사상_어선_제809주영호_선원부상사건","인명사상","인명사상_어선_제809주영호_선원사망사건","인명사상",1
0.939669,"좌초_어선_제102영선호_좌초사건","좌초","좌초_어선_제156대화호_촤조사건","좌초",1
0.938353,"인명사상_어선_1만복호_선원사망사건","인명사상","인명사상_어선_제505협신호_선원사망사건_1","인명사상",1
0.918448,"충돌_어선_도진호_어선_진성호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.917891,"충돌_어선_용성호·어선_범일호_충돌사건","충돌","충돌_어선_제2013현진호_어선_용성호_충돌사건","충돌",1
0.917488,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타",1
0.915342,"화재_어선_방주호_화재사건","화재","화재_어선_제1금강호_화재사건","화재",1
0.915202,"좌초_어선_만경호_좌초사건","좌초","좌초_어선_제83양진호_좌초사건","좌초",1
0.914251,"좌초_낚시어선_오션마스터호_좌초사건","좌초","좌초_낚시어선_피싱랜드호_좌초사건","좌초",1
0.914070,"인명사상_어선_만복호_선원부상사건","인명사상","인명사상_어선_제7환경호_선원부상사건","인명사상",1
0.912373,"충돌_어선_도진호_어선_진성호_충돌사건","충돌","충돌_어선_용성호·어선_범일호_충돌사건","충돌",1
0.903219,"좌초_어선_제11동일호_좌초사건","좌초","충돌_어선_용성호·어선_범일호_충돌사건","충돌",0
0.901433,"해양오염_부선_에스비1603호_해양오염사건","해양오염","해양오염_예인선_창일201호_해양오염사건","해양오염",1
0.901385,"인명사상_어선_바다2호_선원사망사건","인명사상","인명사상_어선_장미2호_선원사망사건","인명사상",1
0.901256,"인명사상_어선_금강7호_선원사망사건","인명사상","인명사상_어선_대건호_선원부상사건","인명사상",1
0.900903,"좌초_어선_기흥호_좌초사건","좌초","좌초_어선_서온호_좌초사건","좌초",1
0.894982,"전복_어선_제7074창진호_전복사건","전복","전복_어선_제708만복호_전복사건","전복",1
0.894019,"충돌_어선_대복호.어선_아진호_충돌사건","충돌","충돌_어선_삼광호.어선_성동호_충돌사건","충돌",1
0.893277,"좌초_어선_기흥호_좌초사건","좌초","좌초_어선_평은77호_좌초사건","좌초",1
0.893176,"인명사상_어선_건양호_선원사망사건","인명사상","인명사상_어선_성복호_선원사망사건","인명사상",1
0.891714,"좌초_어선_제156대화호_촤조사건","좌초","좌초_어선_제66함성호_좌초사건","좌초",1
