cluster,n_docs,rank,keyword,freq,kind,score
0,166,1,작업,115,frequency,
0,166,2,해상,84,frequency,
0,166,3,상태,74,frequency,
0,166,4,출항,73,frequency,
0,166,5,예인,60,frequency,
0,166,6,계류,51,frequency,
0,166,7,항해,40,frequency,
0,166,8,기관장,37,frequency,
0,166,9,장소,35,frequency,
0,166,10,항해사,35,frequency,
0,166,11,기관,34,frequency,
0,166,12,유출,34,frequency,
0,166,13,일시,33,frequency,
0,166,14,적재,33,frequency,
0,166,15,인선,32,frequency,
0,166,16,연결,31,frequency,
0,166,17,사망,31,frequency,
0,166,18,접촉,28,frequency,
0,166,19,승선,28,frequency,
0,166,20,충돌,28,frequency,
0,166,1,액상,4,distinctive,4.65
0,166,2,중량,4,distinctive,4.65
0,166,3,일등,9,distinctive,4.65
0,166,4,세정,5,distinctive,4.65
0,166,5,장기간,4,distinctive,4.65
0,166,6,벙커,7,distinctive,4.65
0,166,7,라인,4,distinctive,4.65
0,166,8,수사,4,distinctive,4.65
0,166,9,권양기,5,distinctive,4.65
0,166,10,클리닝,4,distinctive,4.65
0,166,11,문제,5,distinctive,4.65
0,166,12,기름,9,distinctive,4.65
0,166,13,관리인,4,distinctive,4.65
0,166,14,계약,3,distinctive,4.65
0,166,15,상존,3,distinctive,4.65
0,166,16,개조,3,distinctive,4.65
0,166,17,공해,3,distinctive,4.65
0,166,18,교환,3,distinctive,4.65
0,166,19,숙지,3,distinctive,4.65
0,166,20,절차,3,distinctive,4.65
1,200,1,충돌,163,frequency,
1,200,2,출항,130,frequency,
1,200,3,항해,118,frequency,
1,200,4,선수,106,frequency,
1,200,5,조업,96,frequency,
1,200,6,발견,91,frequency,
1,200,7,상태,87,frequency,
1,200,8,해상,87,frequency,
1,200,9,상대,87,frequency,
1,200,10,장소,70,frequency,
1,200,11,항행,70,frequency,
1,200,12,일시,66,frequency,
1,200,13,경계,60,frequency,
1,200,14,항로,43,frequency,
1,200,15,인근,43,frequency,
1,200,16,승객,39,frequency,
1,200,17,작업,39,frequency,
1,200,18,접근,34,frequency,
1,200,19,선박,33,frequency,
1,200,20,피해,33,frequency,
1,200,1,의존,4,distinctive,4.31
1,200,2,나라,4,distinctive,4.31
1,200,3,동진,8,distinctive,4.31
1,200,4,밀집,5,distinctive,4.31
1,200,5,고무보트,4,distinctive,4.31
1,200,6,음향,4,distinctive,4.31
1,200,7,생활,4,distinctive,4.31
1,200,8,조기,3,distinctive,4.31
1,200,9,산재,3,distinctive,4.31
1,200,10,계기,3,distinctive,4.31
1,200,11,지역,3,distinctive,4.31
1,200,12,배짱,3,distinctive,4.31
1,200,13,초인,7,distinctive,3.772
1,200,14,적극,5,distinctive,3.592
1,200,15,동작,5,distinctive,3.592
1,200,16,규정,5,distinctive,3.592
1,200,17,오징어,5,distinctive,3.592
1,200,18,여유,4,distinctive,3.448
1,200,19,탐지기,4,distinctive,3.448
1,200,20,방주,4,distinctive,3.448
2,126,1,작업,118,frequency,
2,126,2,조업,105,frequency,
2,126,3,어구,102,frequency,
2,126,4,해상,92,frequency,
2,126,5,출항,88,frequency,
2,126,6,롤러,74,frequency,
2,126,7,포함,60,frequency,
2,126,8,사망,56,frequency,
2,126,9,장소,50,frequency,
2,126,10,선수,49,frequency,
2,126,11,일시,45,frequency,
2,126,12,승선,42,frequency,
2,126,13,선원,34,frequency,
2,126,14,상기,32,frequency,
2,126,15,연결,31,frequency,
2,126,16,추락,31,frequency,
2,126,17,상태,29,frequency,
2,126,18,인근,28,frequency,
2,126,19,사이,26,frequency,
2,126,20,투하,26,frequency,
2,126,1,마개,3,distinctive,7.269
2,126,2,치기,6,distinctive,7.269
2,126,3,손가락,3,distinctive,7.269
2,126,4,오른손,6,distinctive,7.269
2,126,5,갈고리,3,distinctive,7.269
2,126,6,중상,3,distinctive,7.269
2,126,7,부자,3,distinctive,7.269
2,126,8,묶음,3,distinctive,7.269
2,126,9,척신,3,distinctive,7.269
2,126,10,오른팔,4,distinctive,7.269
2,126,11,부착,4,distinctive,7.269
2,126,12,철망,8,distinctive,7.269
2,126,13,깃대,4,distinctive,7.269
2,126,14,걸이,4,distinctive,7.269
2,126,15,타격,5,distinctive,6.058
2,126,16,발목,10,distinctive,6.058
2,126,17,가격,20,distinctive,5.816
2,126,18,반대,4,distinctive,5.816
2,126,19,오전,4,distinctive,5.816
2,126,20,롤러,74,distinctive,5.663
3,263,1,출항,352,frequency,
3,263,2,조업,311,frequency,
3,263,3,해상,229,frequency,
3,263,4,포함,179,frequency,
3,263,5,항해,147,frequency,
3,263,6,장소,145,frequency,
3,263,7,상태,144,frequency,
3,263,8,일시,142,frequency,
3,263,9,충돌,132,frequency,
3,263,10,승선,107,frequency,
3,263,11,인근,104,frequency,
3,263,12,상기,103,frequency,
3,263,13,선수,101,frequency,
3,263,14,작업,93,frequency,
3,263,15,항행,86,frequency,
3,263,16,도착,73,frequency,
3,263,17,좌초,54,frequency,
3,263,18,부가,54,frequency,
3,263,19,어구,53,frequency,
3,263,20,이동,51,frequency,
3,263,1,잡이,5,distinctive,2.848
3,263,2,날인,5,distinctive,2.848
3,263,3,부지불식간,7,distinctive,2.848
3,263,4,기운,4,distinctive,2.848
3,263,5,부유,4,distinctive,2.848
3,263,6,다보,4,distinctive,2.848
3,263,7,소두,7,distinctive,2.848
3,263,8,일몰,3,distinctive,2.848
3,263,9,응급조치,3,distinctive,2.848
3,263,10,좌표,3,distinctive,2.848
3,263,11,서항,3,distinctive,2.848
3,263,12,구호,3,distinctive,2.848
3,263,13,승기,6,distinctive,2.441
