k,wcss,avg_silhouette,is_elbow,is_silhouette_best,is_chosen
2,349.447223,0.046020,0,0,0
3,337.959514,0.038131,0,0,0
4,326.900892,0.045038,0,0,0
5,320.960306,0.047318,0,1,1
6,316.453038,0.041414,0,0,0
7,313.134484,0.040404,0,0,0
8,309.425669,0.036755,1,0,0
9,307.381863,0.036717,0,0,0
10,304.848028,0.031259,0,0,0
11,302.711098,0.031730,0,0,0
12,300.864434,0.034272,0,0,0
13,298.763391,0.033470,0,0,0
14,296.766275,0.030172,0,0,0
15,295.777326,0.030565,0,0,0
16,295.666288,0.029971,0,0,0
17,293.297167,0.030912,0,0,0
18,290.510339,0.031450,0,0,0
19,291.321380,0.031348,0,0,0
20,288.846982,0.029883,0,0,0
21,288.422011,0.028937,0,0,0
22,287.841727,0.026889,0,0,0
23,286.520227,0.025725,0,0,0
24,285.121686,0.025016,0,0,0
25,284.720741,0.026398,0,0,0
26,283.848297,0.021303,0,0,0
27,282.602012,0.023582,0,0,0
28,282.069047,0.024136,0,0,0
29,281.121623,0.019393,0,0,0
30,280.336487,0.023447,0,0,0
