bin_start,bin_end,intra_count,inter_count
-0.009459,0.010730,0,3
0.010730,0.030919,0,10
0.030919,0.051108,2,16
0.051108,0.071297,0,24
0.071297,0.091487,2,30
0.091487,0.111676,4,61
0.111676,0.131865,9,71
0.131865,0.152054,13,78
0.152054,0.172243,28,77
0.172243,0.192433,33,93
0.192433,0.212622,38,85
0.212622,0.232811,40,107
0.232811,0.253000,39,138
0.253000,0.273189,34,244
0.273189,0.293378,35,419
0.293378,0.313568,40,669
0.313568,0.333757,68,1116
0.333757,0.353946,122,1736
0.353946,0.374135,164,2871
0.374135,0.394324,265,4352
0.394324,0.414514,392,6327
0.414514,0.434703,643,9097
0.434703,0.454892,951,12074
0.454892,0.475081,1406,15609
0.475081,0.495270,2097,19141
0.495270,0.515460,3006,22209
0.515460,0.535649,4096,24537
0.535649,0.555838,5253,25494
0.555838,0.576027,6554,25387
0.576027,0.596216,7726,23141
0.596216,0.616406,8541,19540
0.616406,0.636595,8614,15656
0.636595,0.656784,8177,11053
0.656784,0.676973,6954,7011
0.676973,0.697162,5265,4176
0.697162,0.717351,3430,2020
0.717351,0.737541,2109,942
0.737541,0.757730,1108,358
0.757730,0.777919,479,122
0.777919,0.798108,189,37
0.798108,0.818297,60,7
0.818297,0.838487,21,1
0.838487,0.858676,1,0
0.858676,0.878865,1,0
0.878865,0.899054,1,0
0.899054,0.919243,0,0
0.919243,0.939433,0,0
0.939433,0.959622,0,0
0.959622,0.979811,1,0
0.979811,1.000000,3,0
