id,category,filename,cluster,기타_예인선_강남티-15호_침수사건,인명사상_석유제품운반선_한유비전_선원부상사건,충돌_어선_삼운호.어선_제3일광호_충돌사건,접촉_예인선_303고려호의_피예인부선_5005영빈호_시아해등부표접촉사건,인명사상_어선_제2성화호_선원부상사건,인명사상_어선_정원호_선원부상사건,기타_어선_제207성진호_침수사건,좌초_어선_제2019덕성호_좌초사건,화재_어선_제107부창호_화재사건,화재_어선_제1금강호_화재사건
기타_예인선_강남티-15호_침수사건,기타,기타_예인선_강남티-15호_침수사건.hwp,0,1.000000,0.701207,0.666704,0.700774,0.655247,0.623236,0.720285,0.636496,0.571608,0.676780
인명사상_석유제품운반선_한유비전_선원부상사건,인명사상,인명사상_석유제품운반선_한유비전_선원부상사건.hwpx,0,0.701207,1.000000,0.717044,0.699699,0.698572,0.650480,0.681978,0.630673,0.625132,0.651490
충돌_어선_삼운호.어선_제3일광호_충돌사건,충돌,충돌_어선_삼운호.어선_제3일광호_충돌사건.hwpx,1,0.666704,0.717044,1.000000,0.763447,0.689505,0.672035,0.707002,0.724098,0.628842,0.643464
접촉_예인선_303고려호의_피예인부선_5005영빈호_시아해등부표접촉사건,접촉,접촉_예인선_303고려호의_피예인부선_5005영빈호_시아해등부표접촉사건.hwp,1,0.700774,0.699699,0.763447,1.000000,0.664223,0.677888,0.710538,0.718271,0.596388,0.599502
인명사상_어선_제2성화호_선원부상사건,인명사상,인명사상_어선_제2성화호_선원부상사건.pdf,2,0.655247,0.698572,0.689505,0.664223,1.000000,0.722430,0.714341,0.681830,0.643319,0.625100
인명사상_어선_정원호_선원부상사건,인명사상,인명사상_어선_정원호_선원부상사건.pdf,2,0.623236,0.650480,0.672035,0.677888,0.722430,1.000000,0.696614,0.681003,0.529195,0.602589
기타_어선_제207성진호_침수사건,기타,기타_어선_제207성진호_침수사건.hwpx,3,0.720285,0.681978,0.707002,0.710538,0.714341,0.696614,1.000000,0.789301,0.591909,0.647528
좌초_어선_제2019덕성호_좌초사건,좌초,좌초_어선_제2019덕성호_좌초사건.hwp,3,0.636496,0.630673,0.724098,0.718271,0.681830,0.681003,0.789301,1.000000,0.650311,0.672496
화재_어선_제107부창호_화재사건,화재,화재_어선_제107부창호_화재사건.hwp,4,0.571608,0.625132,0.628842,0.596388,0.643319,0.529195,0.591909,0.650311,1.000000,0.732972
화재_어선_제1금강호_화재사건,화재,화재_어선_제1금강호_화재사건.pdf,4,0.676780,0.651490,0.643464,0.599502,0.625100,0.602589,0.647528,0.672496,0.732972,1.000000
